"Regulating Agency","County Served","PWS","PWS Name","Facility ID","Facility Name","Sample Date","Received Date","Analyte Abbreviation","Analyte Name","Result (ng/L)","MRL (ng/L)","Sample ID"
"UNION COUNTY","Union","01375","SACAJAWEA MOBILE HOME PARK","EP-A","EP for WELL","11/15/2021","01/27/2022","PFHxS","Perfluorohexanesulfonic acid","ND","10.2","2111104-01"
"UNION COUNTY","Union","01375","SACAJAWEA MOBILE HOME PARK","EP-A","EP for WELL","11/15/2021","01/27/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","20.3","2111104-01"
"UNION COUNTY","Union","01375","SACAJAWEA MOBILE HOME PARK","EP-A","EP for WELL","11/15/2021","01/27/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","40.6","2111104-01"
"UNION COUNTY","Union","01375","SACAJAWEA MOBILE HOME PARK","EP-A","EP for WELL","11/15/2021","01/27/2022","PFNA","Perfluorononanoic acid","ND","10.2","2111104-01"
"UNION COUNTY","Union","01375","SACAJAWEA MOBILE HOME PARK","EP-A","EP for WELL","11/15/2021","01/27/2022","PFOA","Perfluorooctanoic acid","ND","10.2","2111104-01"
"UNION COUNTY","Union","01375","SACAJAWEA MOBILE HOME PARK","EP-A","EP for WELL","11/15/2021","01/27/2022","PFOS","Perfluorooctanesulfonic acid","ND","10.2","2111104-01"
"UNION COUNTY","Union","01375","SACAJAWEA MOBILE HOME PARK","EP-A","EP for WELL","11/15/2021","01/27/2022","PFPeA","Perfluoropentanoic acid","ND","102","2111104-01"
"UNION COUNTY","Union","01375","SACAJAWEA MOBILE HOME PARK","EP-A","EP for WELL","11/15/2021","01/27/2022","PFPeS","Perfluoropentanesulfonic acid","ND","10.2","2111104-01"
"UNION COUNTY","Union","01375","SACAJAWEA MOBILE HOME PARK","EP-A","EP for WELL","11/15/2021","01/27/2022","PFUnA","Perfluoroundecanoic acid","ND","10.2","2111104-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","106","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","PFBA","Perfluorobutanoic acid","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","PFBS","Perfluorobutanesulfonic acid","ND","42.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","PFDA","Perfluorodecanoic acid","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","PFDoA","Perfluorododecanoic acid","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","PFHpA","Perfluoroheptanoic acid","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","PFHpS","Perfluoroheptanesulfonic acid","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","PFHxA","Perfluorohexanoic acid","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","PFHxS","Perfluorohexanesulfonic acid","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","21.3","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","42.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","PFNA","Perfluorononanoic acid","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","PFOA","Perfluorooctanoic acid","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","PFOS","Perfluorooctanesulfonic acid","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","PFPeA","Perfluoropentanoic acid","ND","106","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","PFPeS","Perfluoropentanesulfonic acid","ND","10.6","2110256-01"
"CLACKAMAS COUNTY","CLACKAMAS","95124","CHURCH OF THE RESURRECTION","EP-A","EP for WELL","10/20/2021","01/27/2022","PFUnA","Perfluoroundecanoic acid","ND","10.6","2110256-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","108","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","PFBA","Perfluorobutanoic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","PFBS","Perfluorobutanesulfonic acid","ND","43.2","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","PFDA","Perfluorodecanoic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","PFDoA","Perfluorododecanoic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","PFHpA","Perfluoroheptanoic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","PFHpS","Perfluoroheptanesulfonic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","PFHxA","Perfluorohexanoic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","PFHxS","Perfluorohexanesulfonic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","21.6","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","43.2","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","PFNA","Perfluorononanoic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","PFOA","Perfluorooctanoic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","PFOS","Perfluorooctanesulfonic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","PFPeA","Perfluoropentanoic acid","ND","108","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","PFPeS","Perfluoropentanesulfonic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","10/19/2021","01/27/2022","PFUnA","Perfluoroundecanoic acid","ND","10.8","2110245-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","102","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","PFBA","Perfluorobutanoic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","PFBS","Perfluorobutanesulfonic acid","ND","40.9","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","PFDA","Perfluorodecanoic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","PFDoA","Perfluorododecanoic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","PFHpA","Perfluoroheptanoic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","PFHpS","Perfluoroheptanesulfonic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","PFHxA","Perfluorohexanoic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","PFHxS","Perfluorohexanesulfonic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","20.5","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","40.9","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","PFNA","Perfluorononanoic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","PFOA","Perfluorooctanoic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","PFOS","Perfluorooctanesulfonic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","PFPeA","Perfluoropentanoic acid","ND","102","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","PFPeS","Perfluoropentanesulfonic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","10/19/2021","01/27/2022","PFUnA","Perfluoroundecanoic acid","ND","10.2","2110248-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","105","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFBA","Perfluorobutanoic acid","ND","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFBS","Perfluorobutanesulfonic acid","ND","42.2","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFDA","Perfluorodecanoic acid","ND","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFDoA","Perfluorododecanoic acid","ND","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFHpA","Perfluoroheptanoic acid","17","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFHpS","Perfluoroheptanesulfonic acid","ND","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFHxA","Perfluorohexanoic acid","34","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFHxS","Perfluorohexanesulfonic acid","16.6","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","21.1","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","42.2","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFNA","Perfluorononanoic acid","ND","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFOA","Perfluorooctanoic acid","ND","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFOS","Perfluorooctanesulfonic acid","ND","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFPeA","Perfluoropentanoic acid","ND","105","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFPeS","Perfluoropentanesulfonic acid","ND","10.5","2110247-01"
"MARION COUNTY","Marion","01097","LAKEWOOD HOMEOWNERS","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFUnA","Perfluoroundecanoic acid","ND","10.5","2110247-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","10.5","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","10.5","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","10.5","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","10.5","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","10.5","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.5","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","105","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFBA","Perfluorobutanoic acid","ND","10.5","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFBS","Perfluorobutanesulfonic acid","ND","42.2","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFDA","Perfluorodecanoic acid","ND","10.5","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFDoA","Perfluorododecanoic acid","ND","10.5","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","10.5","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFHpA","Perfluoroheptanoic acid","ND","10.5","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFHpS","Perfluoroheptanesulfonic acid","ND","10.5","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFHxA","Perfluorohexanoic acid","ND","10.5","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFHxS","Perfluorohexanesulfonic acid","ND","10.5","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","21.1","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","42.2","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFNA","Perfluorononanoic acid","ND","10.5","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFOA","Perfluorooctanoic acid","ND","10.5","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFOS","Perfluorooctanesulfonic acid","ND","10.5","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFPeA","Perfluoropentanoic acid","ND","105","2110243-01"
"DEPT OF AGRICULTURE","Marion","94279","PNW VEG CO, LLC DBA NORPAC","EP-A","EP FOR WELLS","10/19/2021","01/27/2022","PFPeS","Perfluoropentanesulfonic acid","ND","10.5","2110243-01"
